BattingTeam,DeathOverRuns,DeathBalls,DeathRunRate
Royal Challengers Bengaluru,1099,613,10.76
Gujarat Titans,2385,1363,10.5
Rising Pune Supergiants,443,256,10.38
Chennai Super Kings,9601,5643,10.21
Royal Challengers Bangalore,8417,4960,10.18
Punjab Kings,2668,1578,10.14
Mumbai Indians,10167,6021,10.13
Lucknow Super Giants,2278,1364,10.02
Kolkata Knight Riders,8429,5236,9.66
Delhi Capitals,3638,2261,9.65
Delhi Daredevils,5043,3150,9.61
Rising Pune Supergiant,555,348,9.57
Sunrisers Hyderabad,6731,4260,9.48
Rajasthan Royals,7750,4927,9.44
Kings XI Punjab,6227,4054,9.22
Deccan Chargers,2539,1659,9.18
Gujarat Lions,921,613,9.01
Kochi Tuskers Kerala,337,238,8.5
Pune Warriors,1360,1007,8.1
